"Year","Month","Variable","Treatment","Value","Model"
2011,"Apr","mnpp","Control",0.04,"LPJGUESS"
2011,"Apr","mra","Control",0.023,"LPJGUESS"
2011,"Apr","mrh","Control",0.038,"LPJGUESS"
2011,"Apr","mrunoff","Control",26.434,"LPJGUESS"
2011,"Apr","mwcont_lower","Control",0.992,"LPJGUESS"
2011,"Apr","mwcont_upper","Control",0.753,"LPJGUESS"
2011,"Aug","maet","Control",59.383,"LPJGUESS"
2011,"Aug","mevap","Control",0.019,"LPJGUESS"
2011,"Aug","mgpp","Control",0.125,"LPJGUESS"
2011,"Aug","mlai","Control",4.225,"LPJGUESS"
2011,"Aug","mnee","Control",-0.031,"LPJGUESS"
2011,"Aug","mnpp","Control",0.076,"LPJGUESS"
2011,"Aug","mra","Control",0.049,"LPJGUESS"
2011,"Aug","mrh","Control",0.045,"LPJGUESS"
2011,"Aug","mrunoff","Control",10.36,"LPJGUESS"
2011,"Aug","mwcont_lower","Control",0.893,"LPJGUESS"
2011,"Aug","mwcont_upper","Control",0.171,"LPJGUESS"
2011,"Dec","maet","Control",0.842,"LPJGUESS"
2011,"Dec","mevap","Control",8.558,"LPJGUESS"
2011,"Dec","mgpp","Control",0,"LPJGUESS"
2011,"Dec","mlai","Control",1.7,"LPJGUESS"
2011,"Dec","mnee","Control",0.018,"LPJGUESS"
2011,"Dec","mnpp","Control",-0.002,"LPJGUESS"
2011,"Dec","mra","Control",0.002,"LPJGUESS"
2011,"Dec","mrh","Control",0.017,"LPJGUESS"
2011,"Dec","mrunoff","Control",77.023,"LPJGUESS"
2011,"Dec","mwcont_lower","Control",0.897,"LPJGUESS"
2011,"Dec","mwcont_upper","Control",0.941,"LPJGUESS"
2011,"Feb","maet","Control",0,"LPJGUESS"
2011,"Feb","mevap","Control",0,"LPJGUESS"
2011,"Feb","mgpp","Control",0,"LPJGUESS"
2011,"Feb","mlai","Control",0,"LPJGUESS"
2011,"Feb","mnee","Control",0.01,"LPJGUESS"
2011,"Feb","mnpp","Control",0,"LPJGUESS"
2011,"Feb","mra","Control",0,"LPJGUESS"
2011,"Feb","mrh","Control",0.01,"LPJGUESS"
2011,"Feb","mrunoff","Control",19.401,"LPJGUESS"
2011,"Feb","mwcont_lower","Control",0.992,"LPJGUESS"
2011,"Feb","mwcont_upper","Control",0.851,"LPJGUESS"
2011,"Jan","maet","Control",0,"LPJGUESS"
2011,"Jan","mevap","Control",3.072,"LPJGUESS"
2011,"Jan","mgpp","Control",0,"LPJGUESS"
2011,"Jan","mlai","Control",0,"LPJGUESS"
2011,"Jan","mnee","Control",0.01,"LPJGUESS"
2011,"Jan","mnpp","Control",0,"LPJGUESS"
2011,"Jan","mra","Control",0,"LPJGUESS"
2011,"Jan","mrh","Control",0.01,"LPJGUESS"
2011,"Jan","mrunoff","Control",0,"LPJGUESS"
2011,"Jan","mwcont_lower","Control",0.992,"LPJGUESS"
2011,"Jan","mwcont_upper","Control",0.852,"LPJGUESS"
2011,"Jul","maet","Control",97.467,"LPJGUESS"
2011,"Jul","mevap","Control",0,"LPJGUESS"
2011,"Jul","mgpp","Control",0.194,"LPJGUESS"
2011,"Jul","mlai","Control",5.269,"LPJGUESS"
2011,"Jul","mnee","Control",-0.067,"LPJGUESS"
2011,"Jul","mnpp","Control",0.122,"LPJGUESS"
2011,"Jul","mra","Control",0.072,"LPJGUESS"
2011,"Jul","mrh","Control",0.055,"LPJGUESS"
2011,"Jul","mrunoff","Control",19.097,"LPJGUESS"
2011,"Jul","mwcont_lower","Control",0.952,"LPJGUESS"
2011,"Jul","mwcont_upper","Control",0.25,"LPJGUESS"
2011,"Jun","maet","Control",102.753,"LPJGUESS"
2011,"Jun","mevap","Control",0,"LPJGUESS"
2011,"Jun","mgpp","Control",0.155,"LPJGUESS"
2011,"Jun","mlai","Control",5.269,"LPJGUESS"
2011,"Jun","mnee","Control",-0.023,"LPJGUESS"
2011,"Jun","mnpp","Control",0.099,"LPJGUESS"
2011,"Jun","mra","Control",0.056,"LPJGUESS"
2011,"Jun","mrh","Control",0.076,"LPJGUESS"
2011,"Jun","mrunoff","Control",24.915,"LPJGUESS"
2011,"Jun","mwcont_lower","Control",0.991,"LPJGUESS"
2011,"Jun","mwcont_upper","Control",0.734,"LPJGUESS"
2011,"Mar","maet","Control",1.664,"LPJGUESS"
2011,"Mar","mevap","Control",28.363,"LPJGUESS"
2011,"Mar","mgpp","Control",0.002,"LPJGUESS"
2011,"Mar","mlai","Control",0.684,"LPJGUESS"
2011,"Mar","mnee","Control",0.023,"LPJGUESS"
2011,"Mar","mnpp","Control",0.001,"LPJGUESS"
2011,"Mar","mra","Control",0.001,"LPJGUESS"
2011,"Mar","mrh","Control",0.023,"LPJGUESS"
2011,"Mar","mrunoff","Control",41.758,"LPJGUESS"
2011,"Mar","mwcont_lower","Control",0.992,"LPJGUESS"
2011,"Mar","mwcont_upper","Control",0.896,"LPJGUESS"
2011,"May","maet","Control",71.396,"LPJGUESS"
2011,"May","mevap","Control",0,"LPJGUESS"
2011,"May","mgpp","Control",0.156,"LPJGUESS"
2011,"May","mlai","Control",5.269,"LPJGUESS"
2011,"May","mnee","Control",-0.04,"LPJGUESS"
2011,"May","mnpp","Control",0.106,"LPJGUESS"
2011,"May","mra","Control",0.05,"LPJGUESS"
2011,"May","mrh","Control",0.066,"LPJGUESS"
2011,"May","mrunoff","Control",54.254,"LPJGUESS"
2011,"May","mwcont_lower","Control",0.992,"LPJGUESS"
2011,"May","mwcont_upper","Control",0.927,"LPJGUESS"
2011,"Nov","maet","Control",3.801,"LPJGUESS"
2011,"Nov","mevap","Control",0,"LPJGUESS"
2011,"Nov","mgpp","Control",0.001,"LPJGUESS"
2011,"Nov","mlai","Control",5.269,"LPJGUESS"
2011,"Nov","mnee","Control",0.033,"LPJGUESS"
2011,"Nov","mnpp","Control",-0.006,"LPJGUESS"
2011,"Nov","mra","Control",0.007,"LPJGUESS"
2011,"Nov","mrh","Control",0.026,"LPJGUESS"
2011,"Nov","mrunoff","Control",34.656,"LPJGUESS"
2011,"Nov","mwcont_lower","Control",0.857,"LPJGUESS"
2011,"Nov","mwcont_upper","Control",0.834,"LPJGUESS"
